"Ecosystem","Density","Fertilizer","Inoculum","Pot_ID","Andropogon.gerardii","Asclepias.verticillata","Bouteloua.curtipendula","Brickellia.eupatorioides","Lespedeza.capitata","Panicum.virgatum","Dalea.candida","Solidago.canadensis","Sorghastrum.nutans","Geum.rossii","Artemisia.scopulorum","Polygonum.bistortoides","Carex.scopulorum","Deschampsia.cespitosa","Erigeron.simplex","Potentilla.diversifolia","Trifolium.parryi","Trisetum.spicatum","Aristida.purpurea","Astragalus.nuttallianus","Bouteloua.eriopoda","Bouteloua.gracilis","Cryptantha.crassisepala","Gutierrezia.sarothrae","Melampodium.leucanthum","Pleraphis.jamesii","Sporobolus.flexuosus","Richness","Shannon_diversity","Evenness","Productivity"
"tallgrass prairie","high","N","control","1-high",5.1862,5.577,4.3644,6.7537,0.2857,22.1176,0.655,44.9101,4.3173,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,1.5452490135541,0.703273133521686,94.167
"tallgrass prairie","low","N","control","1-low",4.4056,3.7163,9.4475,6.5035,0.0751,7.2569,0.2102,47.1025,6.4136,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,1.48360033808886,0.675215612182661,85.1312
"tallgrass prairie","high","X","control","10-high",3.3816,3.0986,2.8073,1.6728,0.1871,4.4118,0.3106,39.9402,5.0477,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,1.27075366186775,0.578344915205863,60.8577
"tallgrass prairie","low","X","control","10-low",5.9079,2.305,5.5693,2.3418,0.2034,16.62,0.7562,50.3602,2.561,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,1.34547127104767,0.612350364603529,86.6248
"tallgrass prairie","high","N","control","11-high",6.5913,2.3712,4.257,0.332,0.1834,26.9102,0.3141,57.3974,1.1283,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,1.17435946693349,0.534474026481723,99.4849
"tallgrass prairie","low","N","control","11-low",5.6605,1.0848,10.0889,0,0.0545,32.49,0.5283,66.9416,2.9276,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,1.19245906759759,0.573451594428706,119.7762
"tallgrass prairie","high","X","control","12-high",5.2554,1.3931,2.7334,5.1099,0.1487,14.49857,0.64577,34.58,2.48859,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,1.46120581161994,0.665023423955788,66.85343
"tallgrass prairie","low","X","control","12-low",7.6329,2.6581,6.4169,4.6114,0.3181,38.3252,0.3021,39.7711,1.9664,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,1.44943967857668,0.659668426034945,102.0022
"tallgrass prairie","high","N","nitrogen","13-high",7.594,3.5194,9.4975,4.1429,0.6563,20.0418,0.769,40.6913,5.0336,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,1.63218332548583,0.742838643951722,91.9458
"tallgrass prairie","low","N","nitrogen","13-low",5.2182,3.3614,6.9167,2.4031,0.2256,5.6453,1.3036,82.193,3.7023,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,1.05777585165678,0.481414536578307,110.9692
"tallgrass prairie","high","X","nitrogen","14-high",4.8999,1.8514,2.7423,1.9371,0.4119,23.3798,0.8796,20.9208,2.3313,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,1.52641739817348,0.694702496011591,59.3541
"tallgrass prairie","low","X","nitrogen","14-low",6.9781,2.012,4.1146,2.8654,0.2132,0.2232,0.2543,24.8484,5.045,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,1.46090933160057,0.664888490084017,46.5542
"tallgrass prairie","high","N","nitrogen","15-high",4.3496,3.0902,5.2591,0.7365,0.112,11.8338,0.3651,60.2267,3.1113,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,1.15161434531624,0.524122275526514,89.0843
"tallgrass prairie","low","N","nitrogen","15-low",3.5937,3.9932,5.0747,5.9284,0.3678,25.7937,0.4574,58.1106,2.6012,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,1.35286448102318,0.615715159468728,105.9207
"tallgrass prairie","high","X","nitrogen","16-high",1.9896,2.6921,1.6799,3.0353,0.4756,15.8072,0.4924,49.6624,4.0545,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,1.24092149958913,0.564767713045312,79.889
"tallgrass prairie","low","X","nitrogen","16-low",2.2752,3.3279,3.1497,1.7221,0.3582,13.3003,0.387,73.2777,1.4094,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,0.975900393438119,0.44415140969397,99.2075
"tallgrass prairie","high","N","nitrogen","17-high",3.8071,1.9697,3.8338,0.8279,0.1808,15.7732,0.2328,70.136,2.2765,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,1.0184762998965,0.463528539777777,99.0378
"tallgrass prairie","low","N","nitrogen","17-low",3.6234,3.9481,3.6139,0,0.1537,19.3389,0.5513,68.304,7.639,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,1.17126006910786,0.563257031097723,107.1723
"tallgrass prairie","high","X","nitrogen","18-high",6.0457,5.2069,5.6489,0.3889,0.3546,15.126,1.0525,41.7446,6.4795,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,1.5121671460256,0.688216926764426,82.0476
"tallgrass prairie","low","X","nitrogen","18-Low",3.3309,1.4017,3.0583,9.906,0.1283,18.9073,0.4372,49.9666,3.9457,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,1.36709241558706,0.62219057154569,91.082
"tallgrass prairie","high","N","nitrogen","19-high",3.9767,3.6167,6.8529,5.658,0.178,9.6591,0.4296,48.0232,2.3928,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,1.39147668268687,0.633288329759087,80.787
"tallgrass prairie","low","N","nitrogen","19-Low",2.111,2.87,6.2513,5.0225,0.2404,11.8633,0.2276,73.2251,1.1408,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,1.06585079148968,0.485089600072586,102.952
"tallgrass prairie","high","X","control","2-high",2.534,4.2,2.5312,2.938,0.2576,32.8254,0.3794,32.3032,3.1563,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,1.39235464925601,0.633687909564536,81.1251
